  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 184.4     15.8    189.67 0.700         0.0      0.0      0.0   5547         
 179.8     15.1    188.97 0.698         0.0      0.0      0.0   5570         
 175.2     14.4    188.28 0.695         0.0      0.0      0.0   5593         
 170.4     13.8    187.66 0.693         0.0      0.0      0.0   5615         
 165.8     13.0    186.81 0.690         0.0      0.0      0.0   5638         
 161.0     12.4    186.22 0.688         0.0      0.0      0.0   5661         
 156.4     12.0    185.82 0.686         0.0      0.0      0.0   5683         
 151.6     11.2    185.00 0.683         0.0      0.0      0.0   5706         
 146.5     10.8    184.64 0.682         0.0      0.0      0.0   5729         
 142.2     10.3    184.07 0.680         0.0      0.0      0.0   5752         
 137.4      9.6    183.37 0.677         0.0      0.0      0.0   5775         
 132.9      9.2    182.91 0.675         0.0      0.0      0.0   5797         
 128.1      8.8    182.49 0.674         0.0      0.0      0.0   5820         
 123.6      8.2    181.87 0.672         0.0      0.0      0.0   5843         
 118.5      8.1    181.75 0.671         0.0      0.0      0.0   5866         
 113.7      7.5    181.15 0.669         0.0      0.0      0.0   5889         
 109.5      7.3    180.91 0.668         0.0      0.0      0.0   5911         
 105.3      7.0    180.60 0.667         0.0      0.0      0.0   5934         
 101.6      6.7    180.27 0.666         0.0      0.0      0.0   5957         
  97.4      6.4    180.03 0.665         0.0      0.0      0.0   5980         
  93.4      6.0    179.63 0.663         0.0      0.0      0.0   6003         
  89.2      6.0    179.69 0.664         0.0      0.0      0.0   6026         
  85.8      5.5    179.16 0.662         0.0      0.0      0.0   6048         
  81.9      5.4    179.10 0.661         0.0      0.0      0.0   6071         
  77.9      5.3    178.97 0.661         0.0      0.0      0.0   6094         
  74.5      5.0    178.74 0.660         0.0      0.0      0.0   6117         
  71.1      4.7    178.49 0.659         0.0      0.0      0.0   6140         
  67.5      4.8    178.64 0.660         0.0      0.0      0.0   6163         
  64.3      4.7    178.53 0.659         0.0      0.0      0.0   6186         
  61.2      4.4    178.22 0.658         0.0      0.0      0.0   6208         
  58.3      4.2    178.01 0.657         0.0      0.0      0.0   6231         
  55.2      4.0    177.82 0.657         0.0      0.0      0.0   6254         
  52.4      3.7    177.48 0.655         0.0      0.0      0.0   6277         
  49.8      3.5    177.28 0.655         0.0      0.0      0.0   6299         
  46.9      3.4    177.18 0.654         0.0      0.0      0.0   6322         
  44.3      3.4    177.18 0.654         0.0      0.0      0.0   6345         
  42.0      3.4    177.18 0.654         0.0      0.0      0.0   6368         
  39.9      3.2    176.98 0.654         0.0      0.0      0.0   6390         
